token,count
couleur,32074
nan,29809
taill,26836
piscin,26288
plus,22680
haut,22180
peut,21937
utilis,21751
eau,20422
facil,19396
décor,17590
qualit,17579
différent,17150
être,16819
enfant,16582
dimens,16537
matériel,13760
caractérist,12562
cet,11438
jeu,11297
bois,11238
typ,11113
lumi,10887
oreil,10749
coussin,10486
eacut,10447
non,10194
intérieur,9956
inclus,9921
environ,9767
batter,9704
plaît,9684
comm,9653
mesur,9439
tai,9087
comprend,9023
jouet,8889
beb,8864
poid,8840
fonction,8836
sac,8827
main,8818
tres,8618
led,8606
résist,8451
imag,8148
cadeau,8134
port,8106
protect,8038
confort,7900
durabl,7882
extérieur,7769
descript,7748
pomp,7727
form,7640
marqu,7620
paquet,7568
bon,7566
an,7540
raison,7490
temp,7408
amp,7408
filtr,7308
plac,7230
sol,7143
maison,7047
color,7026
not,7012
system,7009
contenu,6988
lin,6906
fait,6850
cart,6830
couvertur,6801
filtrat,6790
emballag,6692
air,6650
voitur,6575
forf,6539
manuel,6486
part,6469
diam,6444
léger,6427
autr,6320
charg,6291
livr,6249
dron,6194
avant,6176
install,6171
pouv,6040
1pc,6013
surfac,5870
noël,5851
peintur,5815
pouc,5784
tabl,5734
espac,5702
polyest,5677
tissu,5639
hor,5611
adapt,5566
bâch,5502
canap,5493
permettr,5480
point,5470
coton,5448
matériau,5437
spécif,5433
sécur,5366
permet,5347
lamp,5318
garant,5284
jardin,5231
idéal,5100
structur,5098
bas,5070
mati,5049
écran,5031
réel,4988
lit,4975
uniqu,4905
diametr,4879
dur,4858
usb,4852
rapid,4851
cas,4808
parf,4772
support,4729
sabl,4720
fabriqu,4656
chambr,4584
sous,4500
capac,4479
simpl,4476
fair,4442
doux,4425
nbsp,4423
compatibl,4408
trait,4401
concept,4359
égal,4292
houss,4290
peuvent,4287
pratiqu,4279
convient,4257
contrôl,4236
grâc,4209
tapis,4207
deux,4183
dji,4145
rond,4142
etc,4136
outil,4111
remarqu,4103
bureau,4083
portabl,4080
rang,4064
cadr,4038
pied,4026
entre,4020
puissanc,4016
sall,4001
verr,3992
chais,3986
contr,3973
animal,3962
mouss,3928
car,3918
don,3905
têt,3886
toy,3868
quantit,3855
élément,3845
featur,3840
assur,3838
nécessair,3807
bain,3804
avoir,3800
matel,3793
bien,3785
coup,3773
spa,3760
jeux,3756
auss,3753
proteg,3738
montr,3729
doubl,3726
épaisseur,3724
papi,3713
matérial,3703
bricolag,3697
bel,3692
moteur,3680
solid,3670
métal,3667
câbl,3653
fil,3640
cuisin,3555
