image_size,H,W,n_components,method,f1_macro,train_time_s,n_train,n_val
64x64,64,64,100,pca,0.0007334066740007334,10.602509299998928,8000,2000
64x64,64,64,150,pca,0.0006970814301175866,13.579260099999374,8000,2000
64x64,64,64,200,pca,0.0006970814301175866,13.268621399998665,8000,2000
64x64,64,64,400,pca,0.007936507936507936,19.95015830000193,8000,2000
128x128,128,128,100,pca,0.0006607201850016518,15.24892650000038,8000,2000
128x128,128,128,150,pca,0.001771415143791913,18.757663299998967,8000,2000
128x128,128,128,200,pca,0.001771415143791913,28.94104470000093,8000,2000
128x128,128,128,400,pca,0.0006970814301175866,35.9385351000019,8000,2000
224x224,224,224,100,pca,0.001771415143791913,29.823131000001013,8000,2000
224x224,224,224,150,pca,0.0007334066740007334,32.19989239999995,8000,2000
224x224,224,224,200,pca,0.001771415143791913,33.60745369999859,8000,2000
224x224,224,224,400,pca,0.007936507936507936,69.65125550000084,8000,2000
