baseline,cv_splits,f1_macro,f1_weighted,train_infer_time_sec,notes
B0,3,0.00794977368958972,0.025805495655937392,0.056,text_only=False | image_only=False | dummy=True
B1,3,0.03635043126933371,0.05193151580112361,0.1,text_only=False | image_only=False | dummy=True
B2,3,0.7031336760640103,0.7246327245427945,7153.076,text_only=True | image_only=False | dummy=False
B3,3,0.19860308002839422,0.23690022150758563,1585.382,text_only=False | image_only=True | dummy=False
B0,3,0.00794977368958972,0.025805495655937392,0.162,text_only=False | image_only=False | dummy=True
B1,3,0.03635043126933371,0.05193151580112361,0.377,text_only=False | image_only=False | dummy=True
B2,3,0.5866129079823929,0.605741259617593,4612.301,text_only=True | image_only=False | dummy=False
B3,3,0.19860308002839422,0.23690022150758563,1581.7,text_only=False | image_only=True | dummy=False
B0,3,0.00794977368958972,0.025805495655937392,0.031,text_only=False | image_only=False | dummy=True
B1,3,0.03635043126933371,0.05193151580112361,0.048,text_only=False | image_only=False | dummy=True
B2,3,0.5883767920648642,0.6076675971201149,1044.087,text_only=True | image_only=False | dummy=False
B3,3,0.002618077035386635,0.0015802528018054927,1231.863,text_only=False | image_only=True | dummy=False
B2,3,0.5905677244166766,0.6092783658299904,8921.294,text_only=True | image_only=False | dummy=False
B3,3,0.0026122042475194194,0.001130329640834338,1740.521,text_only=False | image_only=True | dummy=False
B3,3,0.0024703724009844754,0.0010129116267262252,1101.15,text_only=False | image_only=True | dummy=False
B3,3,0.0017386067278246198,0.0008116643140841847,1095.089,text_only=False | image_only=True | dummy=False
B3,3,0.0008494812904692702,0.00030420979441621673,361.501,text_only=False | image_only=True | dummy=False
B3,3,0.0031636006241006955,0.001572557870612416,3188.691,text_only=False | image_only=True | dummy=False
B2,3,0.6324834779310264,0.6477680789521685,8494.097,text_only=True | image_only=False | dummy=False
B0,3,0.00794977368958972,0.025805495655937392,0.02,text_only=False | image_only=False | dummy=True
B1,3,0.03635043126933371,0.05193151580112361,0.061,text_only=False | image_only=False | dummy=True
B3,3,0.0034513101262092375,0.0020284255229068814,494.04,text_only=False | image_only=True | dummy=False
B3,3,0.007564360667895588,0.011760954185462472,432.612,text_only=False | image_only=True | dummy=False
B0,3,0.00794977368958972,0.025805495655937392,0.038,text_only=False | image_only=False | dummy=True
B1,3,0.03635043126933371,0.05193151580112361,0.055,text_only=False | image_only=False | dummy=True
B2,3,0.3953149715463461,0.41368306338563926,143.198,text_only=True | image_only=False | dummy=False
B3,3,0.18019658283188097,0.20240232454848253,802.161,text_only=False | image_only=True | dummy=False
B4,3,0.6173871468778162,0.6587671624258289,77.167,text_only=False | image_only=False | dummy=False
B2,3,0.34820220855414136,0.36523154138996505,97.294,text_only=True | image_only=False | dummy=False
B4,3,0.5394388958551678,0.5912505591610069,1328.798,text_only=False | image_only=False | dummy=False
