class_id,class_name,support,precision,recall,f1
2583,Accessoires pour piscines et spas,223,0.7096774193548387,0.29596412556053814,0.4177215189873418
1560,Mobilier & articles de maison,139,0.5752212389380531,0.4676258992805755,0.5158730158730159
2403,"Livres, mangas & partitions",125,0.5952380952380952,0.2,0.2994011976047904
2522,Fournitures de papeterie,123,0.4925373134328358,0.2682926829268293,0.3473684210526316
1300,Drones et modèles réduits,122,0.38860103626943004,0.6147540983606558,0.47619047619047616
2280,Magazines & journaux anciens,118,0.5384615384615384,0.5338983050847458,0.5361702127659574
1280,Jouets enfants & bébés,111,0.375,0.05405405405405406,0.09448818897637795
2060,Décoration & accessoires saisonniers,110,0.525,0.19090909090909092,0.28
1920,Linge de maison & décoration textile,85,0.5862068965517241,0.8,0.6766169154228856
1160,Cartes à collectionner,76,0.5444444444444444,0.6447368421052632,0.5903614457831325
2705,Essais & livres d’histoire,76,0.34579439252336447,0.4868421052631579,0.40437158469945356
1320,Puériculture & équipement bébé,69,0.4166666666666667,0.21739130434782608,0.2857142857142857
2585,Outils et équipements de jardinage,67,0.18072289156626506,0.22388059701492538,0.2
2582,Mobilier et accessoires de jardin,64,0.24242424242424243,0.25,0.24615384615384617
1302,Jouets divers & loisirs créatifs,63,0.17647058823529413,0.047619047619047616,0.075
1140,Figurines Pop & licences geek,63,0.3163265306122449,0.49206349206349204,0.38509316770186336
10,Livres et ouvrages culturels,62,0.25842696629213485,0.3709677419354839,0.304635761589404
40,Jeux vidéo et accessoires,55,0.3333333333333333,0.18181818181818182,0.23529411764705882
50,Accessoires gaming,52,0.24074074074074073,0.25,0.24528301886792453
1281,Jeux et loisirs enfants,48,0.3333333333333333,0.14583333333333334,0.2028985507246377
2462,Lots jeux vidéo et consoles,35,0.21568627450980393,0.6285714285714286,0.32116788321167883
1180,Jeux de figurines & wargames,27,0.16666666666666666,0.07407407407407407,0.10256410256410256
2220,Accessoires pour animaux,25,0.17391304347826086,0.16,0.16666666666666666
2905,Jeux PC à télécharger & éditions spéciales,18,0.1188118811881188,0.6666666666666666,0.20168067226890757
1940,Alimentation & boissons,16,0.12790697674418605,0.6875,0.21568627450980393
60,Consoles rétro,16,0.13186813186813187,0.75,0.22429906542056074
1301,Chaussettes & accessoires enfants,12,0.08247422680412371,0.6666666666666666,0.14678899082568808
